Entity 1,Relationship,Entity2,Date,Sha,Change
## ContributingAnyone, welcome , everyone,2014-04-07 09:24:30,06196a80ffb3458a878833a8d396fd3998b6012e,addition
## DocumentationTake, look at , documentation table,2014-04-07 09:24:30,06196a80ffb3458a878833a8d396fd3998b6012e,addition
## ContributingAnyone, is , welcome,2014-04-07 09:24:30,06196a80ffb3458a878833a8d396fd3998b6012e,addition
## ContributingAnyone, contribute , everyone,2014-04-07 09:24:30,06196a80ffb3458a878833a8d396fd3998b6012e,addition
## DocumentationTake, look at , documentation table of contents,2014-04-07 09:24:30,06196a80ffb3458a878833a8d396fd3998b6012e,addition
## ContributingAnyone, contribute , everyone,2014-04-07 09:39:00,e5737f204449bcfa77d76c2a29b6a36cf2770274,deletion
## ContributingAnyone, welcome , everyone,2014-04-07 09:39:00,e5737f204449bcfa77d76c2a29b6a36cf2770274,deletion
## DocumentationTake, look at , documentation table of contents,2014-04-07 09:39:00,e5737f204449bcfa77d76c2a29b6a36cf2770274,deletion
## ContributingAnyone, is , welcome,2014-04-07 09:39:00,e5737f204449bcfa77d76c2a29b6a36cf2770274,deletion
## DocumentationTake, look at , documentation table,2014-04-07 09:39:00,e5737f204449bcfa77d76c2a29b6a36cf2770274,deletion
Google, by , Web Central team,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
Sushi have?Sushi, ship with , experience,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is , starter kit,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is starter kit for , web development,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is , kit,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is kit for , web development,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is kit for , multi-screen web development,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
### OverviewSushi, is starter kit for , multi-screen web development,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
Sushi have?Sushi, ship with , 60fps experience,2014-04-16 14:12:57,753e05122e0c42d75311b238188d9bfb7f963d35,addition
SushiSushi, is , starter,2014-05-15 17:40:41,10ed4577f0bd1976f1fb58e0cc90467082b26281,deletion
Sushi have?Sushi, ship with , experience,2014-05-15 17:40:41,10ed4577f0bd1976f1fb58e0cc90467082b26281,deletion
Sushi have?Sushi, ship with , 60fps experience,2014-05-15 17:40:41,10ed4577f0bd1976f1fb58e0cc90467082b26281,deletion
Google, 's Fundamentals is , developers.google.com/web/fundamentals,2014-05-27 09:27:36,6d71b075eefcea8525c4ce376414158266b5c61c,addition
Google, by , Web Fundamentals,2014-05-27 09:27:36,6d71b075eefcea8525c4ce376414158266b5c61c,addition
Google, by , Web Central team,2014-05-27 09:27:36,6d71b075eefcea8525c4ce376414158266b5c61c,deletion
Google, by , Fundamentals,2014-06-05 14:26:05,79f2eaafe1875dc68b59bbc24556e833127f4b02,addition
Google, 's Fundamentals is , developers.google.com/web/fundamentals,2014-06-05 14:26:05,79f2eaafe1875dc68b59bbc24556e833127f4b02,addition
Google, by , Web Fundamentals,2014-06-05 14:26:05,79f2eaafe1875dc68b59bbc24556e833127f4b02,deletion
Google, 's Fundamentals is , developers.google.com/web/fundamentals,2014-06-05 14:26:05,79f2eaafe1875dc68b59bbc24556e833127f4b02,deletion
Google, by , Fundamentals,2014-06-12 16:23:11,6f5ea837bb3505dffe62dd60070768eadacefc3f,addition
Google, 's Fundamentals is , http://developers.google.com/web/fundamentals,2014-06-12 16:23:11,6f5ea837bb3505dffe62dd60070768eadacefc3f,addition
