Entity 1,Relationship,Entity2,Date,Sha,Change
index.html, set , interfaces,2013-06-17 19:14:34,e44de0168a3a5f3e8b0cce18029dd2171900eb65,addition
netdata, instruct , it,2013-06-17 19:14:34,e44de0168a3a5f3e8b0cce18029dd2171900eb65,addition
index.htmlSet, is in , index.html,2013-06-17 19:17:19,0dd029354d6ab910c0c4349d727e454045aac4ca,addition
index.html, set , interfaces,2013-06-17 19:17:19,0dd029354d6ab910c0c4349d727e454045aac4ca,deletion
netdata, instruct , it,2013-06-17 19:17:19,0dd029354d6ab910c0c4349d727e454045aac4ca,deletion
60 seconds, create , json files,2013-06-17 19:17:19,0dd029354d6ab910c0c4349d727e454045aac4ca,deletion
Graphs, are , generated,2013-06-17 19:25:50,c564e87af57b0d0e97cd4e5332ff4adffbc7eaad,addition
Graphs, using , Google Charts API,2013-06-17 20:38:07,1d4f3b087721222f83a39c285f9bf658e75f4736,addition
index.htmlSet, is in , index.html,2014-04-17 20:38:59,54af621b695b54975b8bb2224289d947c55ab8ac,deletion
Graphs, are , generated,2015-09-21 22:13:58,70671ce38f7b2dfe3016ac1b816cfe645259aee5,addition
Graphs, using , Google Charts API,2015-09-21 22:13:58,70671ce38f7b2dfe3016ac1b816cfe645259aee5,addition
Graphs, using , Google Charts API.git clone https://github.com/ktsaou/netdata.git netdatacd netdataOnce,2015-09-21 22:13:58,70671ce38f7b2dfe3016ac1b816cfe645259aee5,deletion
Graphs, are , generated,2015-09-21 22:13:58,70671ce38f7b2dfe3016ac1b816cfe645259aee5,deletion
Netdata, saves on , exit,2015-11-17 00:26:00,fd1f86c8f5c6b513ebbca19a9f378be37873cdfe,addition
netdata, see , it,2015-12-20 17:46:57,84ff2f70f35747c38532c278e651f2bd730ef4b0,addition
netdata, see it in , action,2015-12-20 17:46:57,84ff2f70f35747c38532c278e651f2bd730ef4b0,addition
Graphs, are , generated,2015-12-20 17:46:57,84ff2f70f35747c38532c278e651f2bd730ef4b0,deletion
Graphs, using , Google Charts API,2015-12-20 17:46:57,84ff2f70f35747c38532c278e651f2bd730ef4b0,deletion
Netdata, saves on , exit,2016-01-14 22:40:24,0b1fa45a1925c05b32e64117092fbee4f3c8af34,deletion
netdata, is , web server,2016-01-17 14:07:52,32ce2846c5cec069a6dfaa28f3e61bc69ee82197,deletion
netdata, see , it,2016-01-17 14:07:52,32ce2846c5cec069a6dfaa28f3e61bc69ee82197,deletion
netdata, see it in , action,2016-01-17 14:07:52,32ce2846c5cec069a6dfaa28f3e61bc69ee82197,deletion
Netdata, is , standalone,2016-01-17 14:07:52,32ce2846c5cec069a6dfaa28f3e61bc69ee82197,deletion
netdata, remain , fully interactive,2018-03-27 20:47:40,8d1c338fc966e0bc1057f1bfc886712a6c2a494d,deletion
netdata, remain , interactive,2018-03-27 20:47:40,8d1c338fc966e0bc1057f1bfc886712a6c2a494d,deletion
netdata, can , can embedded on Atlassian Conflunce pages,2018-03-27 20:47:40,8d1c338fc966e0bc1057f1bfc886712a6c2a494d,deletion
netdata, can , can embedded on Conflunce pages,2018-03-27 20:47:40,8d1c338fc966e0bc1057f1bfc886712a6c2a494d,deletion
netdata, is , statsd,2018-09-22 11:56:47,d56a4ece381a71692e5cda351ae3ee4351e9fc28,addition
netdata, is , featured,2018-09-22 11:56:47,d56a4ece381a71692e5cda351ae3ee4351e9fc28,addition
Netdata, now has , its github organization,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, now has , its own github organization,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, be , firehol.org project accessible,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Atlassian, has , Confluence,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, be , accessible,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, has , its own github organization,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, has , its github organization,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, be , firehol.org project,2018-09-23 12:07:59,48dff615bb6ab9534da732e5cacfa3c25be93be4,addition
Netdata, now has , its github organization,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , several thousands,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , thousands of metrics,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, has , its own github organization,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , several thousands of metrics per device,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, is , statsd,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , thousands,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, be , firehol.org project,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, be , accessible,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, be , firehol.org project accessible,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, now has , its own github organization,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , thousands of metrics per device,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, collects , several thousands of metrics,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
netdata, is , featured,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, has , its github organization,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,addition
Netdata, be , firehol.org project,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,deletion
Netdata, now has , its own github organization,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,deletion
Netdata, be , accessible,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,deletion
Netdata, be , firehol.org project accessible,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,deletion
## Interaction, is with , netdataAfter installation,2018-11-10 03:50:57,562f7ca449e1fe8b1fff62a75bdb16c30da3d3a1,deletion
