Entity 1,Relationship,Entity2,Date,Sha,Change
AcknowledgementsNormalize.css, is project by , http://github.com/necolas,2011-06-21 01:06:55,9e9faec50767f2066e5e1d56995896cfb691d7d9,addition
AcknowledgementsNormalize.css, is , project,2011-06-21 01:06:55,9e9faec50767f2066e5e1d56995896cfb691d7d9,addition
Normalize.css, be used as , alternative to CSS resets.It,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, be used as , alternative,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, is intended , used,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, is intended , used as alternative to CSS resets.It,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, be , used,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, is intended , used as alternative,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, is , intended,2011-09-14 10:37:32,5e64a2c5cbba6dfd2ff61a5c50b99201fd5e2203,addition
Normalize.css, is , project,2012-07-08 22:43:00,b7579700ead7f94ddb07687e0ec8fbf8efc4ad93,addition
Normalize.css, is , customisable,2012-07-08 22:43:00,b7579700ead7f94ddb07687e0ec8fbf8efc4ad93,addition
Normalize.css, is project by , http://github.com/necolas,2012-07-08 22:43:00,b7579700ead7f94ddb07687e0ec8fbf8efc4ad93,addition
Normalize.css, is on , project,2012-07-08 22:43:00,b7579700ead7f94ddb07687e0ec8fbf8efc4ad93,deletion
Normalize.css, contributing to , Normalize.css,2012-07-08 22:43:00,b7579700ead7f94ddb07687e0ec8fbf8efc4ad93,deletion
Normalize.css, is , project co-created with https://github.com/jonathantneal,2013-01-21 01:34:29,5c0d44e002a84d1944ce8b9d0aa30e0b860a09c2,addition
Normalize.css, is , project co-created,2013-01-21 01:34:29,5c0d44e002a84d1944ce8b9d0aa30e0b860a09c2,addition
Normalize.css, is project by , http://github.com/necolas,2013-01-21 01:34:29,5c0d44e002a84d1944ce8b9d0aa30e0b860a09c2,deletion
Safari, will clip , the,2016-03-19 21:14:10,7f2eaef38d5a55c9a1707ae0f6fd1f050cf8fdcf,addition
Safari, will clip , the,2018-02-08 23:50:08,f7c98c4c859c15363763f10a439b63d85b9afba0,deletion
