Entity 1,Relationship,Entity2,Date,Sha,Change
TestSwarm, only supports Apache as , servers,2012-03-21 05:23:29,c1cfad704022bf7537a9df0d7deb6ef306a831c2,addition
TestSwarm, supports Apache as , servers,2012-03-21 05:23:29,c1cfad704022bf7537a9df0d7deb6ef306a831c2,addition
TestSwarm, supports , Apache,2012-03-21 05:23:29,c1cfad704022bf7537a9df0d7deb6ef306a831c2,addition
TestSwarm, provides , distributed integration testing for JavaScript.The instance monitoring jQuery core,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was originally created by , http://ejohn.org/,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , continuous integration testing for JavaScript.The instance monitoring jQuery core,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was originally created by , John Resig as basictool,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, uses as much , Semantic Versioning guidelines,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was created by , John Resig as basictool,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Distributed Continuous Integration for , JavaScript TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Distributed Integration for , JavaScript ================= TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was , originally created,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was , created,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, uses much , Semantic Versioning guidelines,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , integration testing,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
IRC, is in , #jquery dev channel,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Integration for , JavaScript ================= TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Integration for , JavaScript TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Continuous Integration for , JavaScript ================= TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, uses , Semantic Versioning guidelines,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, Distributed Integration for , JavaScript TestSwarm,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , distributed integration testing,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
IRC, happens on , jQuery Testing Teamwiki,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , integration testing for JavaScript.The main instance monitoring jQuery core,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was created by , John Resig,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , distributed integration testing for JavaScript.The main instance monitoring jQuery core,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, was originally created by , John Resig,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
TestSwarm, provides , integration testing for JavaScript.The instance monitoring jQuery core,2012-03-21 20:45:10,6a1027e1a982fed73b9ab922d7500ee2952b0984,addition
